PROV2558;Tiormachd;;;;;;;;;;;;;
PROV2111;uMgungundlovu;;;;;;;;;;;;;
PROV2113;Ulundi;;;;;;;;;;;;;
PROV2112;eMnambithi;;;;;;;;;;;;;
SAF_fascist;Nationalists o New Rubha;;;;;;;;;;;;
SAF_liberal;Heid Union;;;;;;;;;;;;
SAF_conservative;Avancers;;;;;;;;;;;;
SAF_socialist;Worker's Party;;;;;;;;;;;;
SAF_conservative_2;Union Ciùird;;;;;;;;;;;;
SAF_liberal_2;Rubhach Party;;;;;;;;;;;;
SAF_conservative_3;National Party;;;;;;;;;;;;
SAF_reactionary;Fermer's Party;;;;;;;;;;;;
SAF_radical;Radaigeach Party;;;;;;;;;;;;
SAF_communist;Pàrtaidh Comannach Rubhach;;;;;;;;;;;;
SAF_ADJ;Rubhach;;;;;;;;;;;;
SAF_hms_government;Union o New Rubha;;;;;;;;;;;;
SAF_colonial_company;Domeenion o New Rubha;;;;;;;;;;;;
SAF_dominon;Union o New Rubha;;;;;;;;;;;;
SAF_absolute_monarchy;Union o New Rubha;;;;;;;;;;;;
SAF_prussian_constitutionalism;Union o New Rubha;;;;;;;;;;;;
griqua;Datiach;;;;;;;;;;;;
ENG_2087;Rubha Ùr;;;;;;;;;;;;
ENG_2092;Carù;;;;;;;;;;;;
ENG_2096;Xhosaland;;;;;;;;;;;;
PROV2913;Coast of Heidtoun;;;;;;;;;;;;
PROV2988;Baia Valenca;;;;;;;;;;;;
DTI;Datiann;;;;;;;;;;;;
DTI_ADJ;Datiach;;;;;;;;;;;;
DTI_absolute_monarchy;Datiach Kingdom;;;;;;;;;;;;
DTI_prussian_constitutionalism;Datiach Kingdom;;;;;;;;;;;;
DTI_hms_government;Datiach Kingdom;;;;;;;;;;;;
DTI_liberal;Pàrtaidh Datiach Saorsa;;;;;;;;;;;;
DTI_conservative;Luchd-Gleidhidh;;;;;;;;;;;;
DTI_fascist;Pàrtaidh Daoine Datiach;;;;;;;;;;;;
DTI_communist2;Pàrtaidh Comannach Datiann;;;;;;;;;;;;
DTI_reactionary;Aonadh Crìosdail;;;;;;;;;;;;
DTI_radical;Pàrtaidh Radaigeach;;;;;;;;;;;;
RHA;Rharhabe;;;;;;;;;;;;
RHA_ADJ;Rharhabe;;;;;;;;;;;;
GCA;Gcaleka;;;;;;;;;;;;
GCA_ADJ;Gcaleka;;;;;;;;;;;;
NDL;Ndlambe;;;;;;;;;;;;
NDL_ADJ;Ndlambe;;;;;;;;;;;;
reform_xhosa_title;Reform the Xhosa;;;;;;;;;;;;
reform_xhosa_desc;We have been divided by our political differences, but now, we shall reunite under one banner. Ours.;;;;;;;;;;;;
ZAF;Zafimava;;;;;;;;;;;;
ZAF_ADJ;Zafimavy;;;;;;;;;;;;
PROV2060;Zafimava;;;;;;;;;;;;
POR_2060;Zafimava;;;;;;;;;;;;
xhosaprophet10_title;The King is dead!;;;;;;;;;;;;;,
xhosaprophet10_desc;Today is a day of mourning and grief. Mgolobane Sandile of Rharhabe, chief of the Xhosa, was found dead in his home. He was young, and his death is still wrapped in mystery. Some say he died due to untreated injuries. Others say he was poisoned. He was childless, leaving many to claim the Xhosa throne. Three main factions have arisen. The Rharhabe, the current ruling faction, who have put the chief's favoured wife, the queen regent, in power. The Gcaleka, the main opposition to the Rulers. They claim that the Rharhabe have been too soft on the foreigners, and that the Rharhabe are too weak to bring Xhosa to greatness. The Ndlambe. The weakest of the three, supported by those who wish for Xhosa to change with the world around it, instead of remainig a backwater.;;;;;;;;;;;;;,
xhosaprophet10_option1; Oh no...;;;;;;;;;;;;;,
xhosaprophet11_title;The King is dead!;;;;;;;;;;;;;,
xhosaprophet11_desc;Today is a day of mourning and grief. Mgolobane Sandile of Rharhabe, chief of the Xhosa, was found dead in his home. He was young, and his death is still wrapped in mystery. Some say he died due to untreated injuries. Others say he was poisoned. He was the greatest ruler in our history. Our future rulers have big shoes to fill.;;;;;;;;;;;;;,
xhosaprophet11_option1;May he rest in peace;;;;;;;;;;;;;,
xhosacollapse_title;The Xhosa in Crisis!;;;;;;;;;;;;;,
xhosacollapse_desc;The queen regent has failed to keep Xhosa society together. Local Rulers have pledged loyalties to different factions. The Rharhabe rule has ended.;;;;;;;;;;;;;,
xhosacollsapse_option1;I want to play as the Rharhabe!;;;;;;;;;;;;;,
xhosacollsapse_option2;I want to play as the Gcaleka!;;;;;;;;;;;;;,	
xhosacollsapse_option3;I want to play as the Ndlambe!;;;;;;;;;;;;;,
xhosa_unification;Xhosa Reunification;;;;;;;;;;;;;,
xhosa_unification_short;Xhosa Reunification;;;;;;;;;;;;;,
xhosa_unification_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
treaty_of_neamhnaid_title;Treaty of Neamhnaid;;;;;;;;;;;;;
treaty_of_neamhnaid_desc;Rubha Ùr is under our control. Now is the time to sit down with our former colonial masters at Neamhnaid, a town known for its beautiful views (which will, hopefully, distract their diplomats), and work out a peace deal that will see it transferred into Datiach hands.;;;;;;;;;;;;;
recore_cape_title;Restore New Rubha;;;;;;;;;;;;;
recore_cape_desc;We have retaken New Rubha from the Datiach. It is time to restore our old colony.;;;;;;;;;;;;;
datiach_tension_title;Tensions in New Rubha;;;;;;;;;;;;;
datiach_tension_desc;Recently, fighting has broken out between our garrisons in the colony and the Datiach, the mixed race people of New Rubha.;;;;;;;;;;;;;
datiach_tension_option1;This situation will pass.;;;;;;;;;;;;;
datiach_demands_title;The Datiach Demands;;;;;;;;;;;;;
datiach_demands_desc;The situation in New Rubha has grown to a serious problem. A group of Datiach rebels have stormed the colonial office in Heidtoun and have sent us a list of ridiculous demands, including full independence and guarentees to not return to the colony.;;;;;;;;;;;;;
datiach_demands_option1;Surely we can negotiate a settlement that everyone can agree with?;;;;;;;;;;;;;
datiach_demands_option2;We shall stomp this rebellion before ideas of independence in our other colonial dominions spread!;;;;;;;;;;;;;
datiach_demands_option3;Fada beò Datiann!;;;;;;;;;;;;;
datiach_negotiations_title;Datiach Negotiations;;;;;;;;;;;;;
datiach_negotiations_desc;What will we tell the Datiach?;;;;;;;;;;;;;
datiach_negotiations_option1;They will gain equal rights with as the Scots in New Rubha.;;;;;;;;;;;;;
datiach_negotiations_option2;They will be allowed to return to their normal lives under our rule.;;;;;;;;;;;;;
datiach_defeat_title;The Datiach Concede;;;;;;;;;;;;;
datiach_defeat_desc;The Datiach rebels have conceded in the negotiations. Life shall return to normal in New Rubha;;;;;;;;;;;;;
datiach_defeat_option1;Wonderful;;;;;;;;;;;;;
datiach_compromise_title;The Datiach Agree;;;;;;;;;;;;;
datiach_compromise_desc;The Datiach rebels have agreed to our terms. Peace shall be restored to the colony.;;;;;;;;;;;;;
datiach_compromise_option1;Wonderful;;;;;;;;;;;;;
neamhnaid_title;Treaty of Neamhnaid;;;;;;;;;;;;;
neamhnaid_desc;The Datiach have demanded our surrender, and, truth is, we can't deny it. They have held Heidtoun against our forces. This war has been an embarrassment on the world stage. Our best bet is to attmpt to rekindle relations with the Datiach and create an ally out of them. We could also denounce the Datiach and try to retake Rubha Ùr.;;;;;;;;;;;;;
neamhnaid_news_title;Treaty of Neamhnaid;;;;;;;;;;;;;
neamhnaid_NEWS_LONG;The Datiach rebels of Rubha Ùr have embarrassed the Scots. They have forced them to sign the Treaty of Neamhnaid, securing Datiach independence. From now on, the stability of the Scottish Colonial Empire isn't guarenteed.;;;;;;;;;;;;;
neamhnaid_NEWS_MEDIUM;The Scots have lost Rubha Ùr to Datiach rebels. The colony revolted against their rule and have forced a peace with the Scots.;;;;;;;;;;;;;
neamhnaid_NEWS_SHORT;The Scots have lost Rubha Ùr to Datiach rebels.;;;;;;;;;;;;;
datiann_surrender_option1;We should rekindle relations with the Datiach.;;;;;;;;;;;;;
datiann_surrender_option2;We should attempt to retake New Rubha.;;;;;;;;;;;;;
datiann_recc_title;Victory is Ours!;;;;;;;;;;;;;
datiann_recc_desc;We have achieved victory over the Scots. They have accepted our terms, and they seem to be attempting to rekindle relations with us. Perhaps they could become a useful ally in future.;;;;;;;;;;;;;
datiann_recc_option1;Fada beò Datiann!;;;;;;;;;;;;;
datiann_anger_title;Victory is Ours!;;;;;;;;;;;;;
datiann_anger_desc;We have achieved victory over the Scots. They have reluctantly accepted our terms. This does not mean that our independence is guarenteed, however. We must remain vigilant for future incursions if we wish to keep of freedom.;;;;;;;;;;;;;
datiann_anger_option1;Fada beò Datiann!;;;;;;;;;;;;;
german_cape_merchants;Rubhach-German Merchants;;;;;;;;;;;;;
german_cape_merchants_desc;The Low German merchants of Heidtoun are syphoning funds from our Eastern colonies, away from our treasury.;;;;;;;;;;;;;
suez_rubha_merchants_title;Irrelevance of the Rubhach-German Merchants;;;;;;;;;;;;;
suez_rubha_merchants_desc;With the construction of the Suez Canal, the Merchants of Heidtoun have become increasingly irrelevant. It seems that the solution to this issue was simply patience.;;;;;;;;;;;;;
suez_rubha_merchants_option1;It all seems to have worked out!;;;;;;;;;;;;;
rubha_merchants_transfer_title;Rubhach-German Merchants;;;;;;;;;;;;;
rubha_merchants_transfer_desc;We have inherited New Rubha's owner's problems with the Rubhach-German Merchants. They will syphon our funds from the trade routes between East and West.;;;;;;;;;;;;;
rubha_merchants_transfer_option1;Tragic;;;;;;;;;;;;;
remove_datiach_culture_title;Repeal Datiach Protection Laws;;;;;;;;;;;;;
remove_datiach_culture_desc;What are we to do?;;;;;;;;;;;;;
rubha_merchant_solving_title;The Rubhach-German Issue;;;;;;;;;;;;;
rubha_merchant_solving_desc;What are we to do with the Merchants?;;;;;;;;;;;;;
rubha_merchants_solving_option1;Bar their companies from the port. Of course, they will be compensated  accordingly.;;;;;;;;;;;;;
rubha_merchants_solving_option2;Nationalize their companies, they have stolen enough from us.;;;;;;;;;;;;;
rubha_merchants_solving_option3;Those bastards will pay for their crimes against us.;;;;;;;;;;;;;
the_low_german_issue_title;The Rubhach-German Merchant Issue;;;;;;;;;;;;;
the_low_german_issue_desc;The Rubhach-German Merchants have long stolen our country's wealth from the trade between east and west. It is time to discuss what we shall do with the Merchants.;;;;;;;;;;;;;
medium_baby_boom;Baby Boom;;;;;;;;;;;;;
medium_baby_boom_desc;A moderate bady boom.;;;;;;;;;;;;;
south_africa_baby_boom_title;The South African Baby Boom;;;;;;;;;;;;;
south_africa_baby_boom_desc;With the introduction of European and Columbian crops and farming methods, and the sparse amount of people, the population of Southern Africa has begun to explode. We are yet to see how this will effect the region, but this could open many oppurtunites for us.;;;;;;;;;;;;;
south_african_baby_boom_option1;Interesting;;;;;;;;;;;;;
ROQ;Realm of Qamata;;;;;;;;;;;;;
ROQ_ADJ;Qamata;;;;;;;;;;;;;
ROQ_parliamentary_republic;Qamata's Republic;;;;;;;;;;;;;
ROQ_peasant_republic;Qamata's Republic;;;;;;;;;;;;;
ROQ_democracy;Qamata's Republic;;;;;;;;;;;;;
ROQ_absolute_monarchy;Qamata's Empire;;;;;;;;;;;;;
ROQ_prussian_constitutionalism;Qamata's Empire;;;;;;;;;;;;;
ROQ_hms_government;Qamata's Empire;;;;;;;;;;;;;
ROQ_federal_democracy;Qamata's Republic;;;;;;;;;;;;;
ROQ_conservative;Abagadi;;;;;;;;;;;;;
ROQ_liberal;Intshukumo yeNkululeko;;;;;;;;;;;;;
ROQ_radical;Umanyano;;;;;;;;;;;;;
ROQ_socialist;Iqela labaThembekileyo;;;;;;;;;;;;;
ROQ_communist;Abalandeli bakaQamata;;;;;;;;;;;;;
ROQ_fascist;iManyano yeSizwe;;;;;;;;;;;;;
ROQ_reactionary;iManyano yeSizwe;;;;;;;;;;;;;
and_we_march_on;And we march on.;;;;;;;;;;;;;
form_qamata_title;The Hand of Qamata;;;;;;;;;;;;;
form_qamata_desc;Our old prophet has led us down this path. We must complete it. We shall break the boundries between the heavens.;;;;;;;;;
push_north_qamata_title;Push north;;;;;;;;;
push_north_qamata_desc;And on we march.;;;;;;;;;
claim_imerina_qamata_title;Onto the island;;;;;;;;;
claim_imerina_qamata_desc;And on we march.;;;;;;;;;
push_east_coast_qamata_title;Up the East Coast;;;;;;;;;
push_east_coast_qamata_desc;And on we march.;;;;;;;;;
ethiopia_qamata_title;Onto the highlands;;;;;;;;;
ethiopia_qamata_desc;And on we march.;;;;;;;;;
push_basin_qamata_title;Into the basin;;;;;;;;;
push_basin_qamata_desc;And on we march.;;;;;;;;;
push_sudan_qamata_title;Past the equator;;;;;;;;;
push_sudan_qamata_desc;And on we march.;;;;;;;;;
push_west_qamata_title;Down the West Coast;;;;;;;;;
push_west_qamata_desc;And on we march.;;;;;;;;;
push_maghreb_qamata_title;Across the desert;;;;;;;;;
push_maghreb_qamata_desc;And on we march.;;;;;;;;;
push_egypt_qamata_title;Along the river;;;;;;;;;
push_egypt_qamata_desc;And on we march.;;;;;;;;;
cleanse_qamata_title;Cleanse Earth;;;;;;;;;
cleanse_qamata_desc;We must purify our lands and peoples in preparation for the merging of the heavens and Earth. Now all there is to do is wait.;;;;;;;;;
KRB;Kariba;;;;;;;;;
KRB_ADJ;Vakariba;;;;;;;;;
POR_2053;Tikonambu;;;;;;;;;  
TIK;Tikonambu;;;;;;;;;  
TIK_ADJ;Vatikonambu;;;;;;;;;  
ZUL_absolute_empire;KwaZulu;;;;;;;;;
ZUL_semi_constitutional_empire;KwaZulu;;;;;;;;; 
ZUL_constitutional_empire;KwaZulu;;;;;;;;;
xhosa_prep_title;The Xhosa Prepare for War.;;;;;;;;;
xhosa_prep_desc;The Xhosa and us have ended our petty squabbles. It is time to stand united against the Zulu.;;;;;;;;;
xhosa_prep_option1;And we'll bask in glory, victory or not.;;;;;;;;;
tsonga_prep_title;The Tsonga Prepare for War.;;;;;;;;;
tsonga_prep_desc;The Tsonga and us have ended our petty squabbles. It is time to stand united against the Zulu.;;;;;;;;;
tsonga_prep_option1;And we'll bask in glory, victory or not.;;;;;;;;;
BAP_war_title;The Great Zulu War;;;;;;;;;
BAP_war_desc;The time for war has come. We have prepared what we can, but we can prepare no longer. The longer we wait, the stronger, more consolidated the Zulu become. We have to attack now.;;;;;;;;;
BAP_war_option1;To War!;;;;;;;;;
BAP_war_option2;Perhaps war isn't the right option...;;;;;;;;;
ZUL_surr_title;The Bapedi Reign Victorious.;;;;;;;;;
ZUL_surr_desc;We have lost. We are humiliated. But we will return. Aphile maZulu!.;;;;;;;;;
ZUL_surr_option1;But how...?;;;;;;;;;
BAP_surr_title;We have lost.;;;;;;;;;
BAP_surr_desc;We have lost, and our future is uncertain, but we still remain. They have been leniant on us, and they will regret it.;;;;;;;;;
BAP_surr_option1;Phelang Lelelele Bapedi!;;;;;;;;;
arbota_rebel_title;The Arbotsy Rebel!;;;;;;;;;
arbota_rebel_desc;The Arbotsy living in our land have revolted under their deposed king. We suspect that the Pedi are behind this.;;;;;;;;;
arbota_rebel_option1;Scum!;;;;;;;;;
XHO_surr_title;We have lost.;;;;;;;;;
XHO_surr_desc;They have marched on our villages. they have taken our cattle. We are defeated. But we will return, one day.;;;;;;;;;
XHO_surr_option1;Phila Kade KwaXhosa!;;;;;;;;;
SHO_surr_title;We have lost.;;;;;;;;;
SHO_surr_desc;Our subjects our revolting, our soldiers are deserting and furthur the Zulu have marched. We have lost.;;;;;;;;;
SHO_surr_option1;Traitors! Them all!;;;;;;;;;
ZUL_victory_title;IKwaZulu iyabusa!;;;;;;;;;
ZUL_victory_desc;We have bested the Bapedi and their sly tools. Our neighbours, and the Scots, see our might. IKwaZulu iyabusa!;;;;;;;;;
ZUL_victory_option1;Ukunqoba!;;;;;;;;;
in_BAP_coalition;In the Anti-Zulu Coalition;;;;;;;;;
BAPstart_title;The Threat on Our Border;;;;;;;;;
BAPstart_desc;The rise of the Zulu may have given us our freedom against our Ndebele oppressors, but their continued existance is a threat to our freedom. If we are to survive, we must act, and we shouldn't act alone.;;;;;;;;;
BAPstart_option1;I can think of many who would fight against the Zulu.;;;;;;;;;
BAP_invite_arbota_title;Invite the Arbota;;;;;;;;;
BAP_invite_arbota_desc;The Arbota have lost their freedom at home, but  we can win it for them in Manjakazi. Their remaining forces are weak, and will need supplies, but their numbers and desperation could prove useful.;;;;;;;;;
BAP_invite_xhosa_title;Invite the Xhosa;;;;;;;;;
BAP_invite_xhosa_desc;The Xhosa have long been rivals of the Zulu. They lay claim to their southern lands, now could be their oppurtunity for victory.;;;;;;;;;
BAP_invite_tsonga_title;Invite the Tsonga;;;;;;;;;
BAP_invite_tsonga_desc;The Tsonga are currently facing internal strife and divison. A victory against the most powerful army in the region could bring the unity they desire.;;;;;;;;;
arbota_accept_title;The Arbota Response;;;;;;;;;
arbota_accept_desc;The Arbota have accepted our proposal, but time will tell if they stick to their part of the deal.;;;;;;;;;
arbota_accept_option1;Wonderful!;;;;;;;;;
arbota_decline_option1;Rats!;;;;;;;;;
xhosa_invite_title;An Invitation;;;;;;;;;
xhosa_invite_desc;The Bapedi have invited us to a coalition against the Zulu, with the promise of eThekwini as a reward. What should we respond with?;;;;;;;;;
xhosa_invite_option1;Of course!;;;;;;;;;
xhosa_invite_option2;Far too risky.;;;;;;;;;
xhosa_accepted_title;The Xhosa Accept;;;;;;;;;
xhosa_accepted_desc;The Xhosa have accepted to the proposal. Our coalition grows greater.;;;;;;;;;
xhosa_accepted_option1;Wonderful!;;;;;;;;;
xhosa_declined_title;The Xhosa decline;;;;;;;;;
xhosa_declined_desc;The Xhosa have refused our offer. It seems that our battle will be more difficult.;;;;;;;;;
xhosa_declined_option1;Those dogs!;;;;;;;;;
tsonga_invite_title;An Invitation;;;;;;;;;
tsonga_invite_desc;The Bapedi have invited us to a coalition against the Zulu, with the promise of Tsaneng and Manjakazi as a reward. What should we respond with?;;;;;;;;;
tsonga_invite_option1;Of course!;;;;;;;;;
tsonga_invite_option2;Far too risky.;;;;;;;;;
tsonga_accepted_title;The Tsonga Accept;;;;;;;;;
tsonga_accepted_desc;The Tsonga have accepted to the proposal. Our coalition grows greater.;;;;;;;;;
tsonga_accepted_option1;Wonderful!;;;;;;;;;
tsonga_declined_title;The Tsonga decline;;;;;;;;;
tsonga_declined_desc;The Tsonga have refused our offer. It seems that our battle will be more difficult.;;;;;;;;;
tsonga_declined_option1;Those rats!;;;;;;;;;
BAP_buy_guns_title;Buy Scottish Guns and Munitions;;;;;;;;;
